sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
1,10,0,38,0,0.0,0.0,1.0,0.0,17,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,11,2,66,1,0.0,0.0,1.0,0.0,17,6,7,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
0,4,1,20,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,5,43,1,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,2,40,3,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
0,3,0,15,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,3,78,1,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
0,5,0,22,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0,22,1,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,0,77,3,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,1,15,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,1,57,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,3,37,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
0,6,0,23,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0,33,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
